"Time of Day","Process Name","PID","Operation","Path","Result","Detail","Image Path","Parent PID"
"2:23:00.5242085 PM","RAT.exe","2176","CreateFile","C:\Users\vboxuser\AppData\Local\Temp\bzgwgmoddw.exe","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened","C:\Users\vboxuser\Desktop\RAT.exe","4708"
"2:23:00.5242172 PM","RAT.exe","2176","QueryBasicInformationFile","C:\Users\vboxuser\AppData\Local\Temp\bzgwgmoddw.exe","SUCCESS","CreationTime: 12/12/2023 5:05:28 PM, LastAccessTime: 6/23/2025 2:16:22 PM, LastWriteTime: 12/12/2023 5:05:28 PM, ChangeTime: 6/23/2025 2:13:06 PM, FileAttributes: A","C:\Users\vboxuser\Desktop\RAT.exe","4708"
"2:23:00.5242232 PM","RAT.exe","2176","CloseFile","C:\Users\vboxuser\AppData\Local\Temp\bzgwgmoddw.exe","SUCCESS","","C:\Users\vboxuser\Desktop\RAT.exe","4708"
"2:23:00.5242303 PM","RAT.exe","2176","IRP_MJ_CLOSE","C:\Users\vboxuser\AppData\Local\Temp\bzgwgmoddw.exe","SUCCESS","","C:\Users\vboxuser\Desktop\RAT.exe","4708"
"2:23:00.5242665 PM","RAT.exe","2176","QueryOpen","C:\Users\vboxuser\AppData\Local\Temp\bzgwgmoddw.exe","FAST IO DISALLOWED","","C:\Users\vboxuser\Desktop\RAT.exe","4708"
"2:23:00.5242961 PM","RAT.exe","2176","CreateFile","C:\Users\vboxuser\AppData\Local\Temp\bzgwgmoddw.exe","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened","C:\Users\vboxuser\Desktop\RAT.exe","4708"
"2:23:00.5243041 PM","RAT.exe","2176","QueryBasicInformationFile","C:\Users\vboxuser\AppData\Local\Temp\bzgwgmoddw.exe","SUCCESS","CreationTime: 12/12/2023 5:05:28 PM, LastAccessTime: 6/23/2025 2:16:22 PM, LastWriteTime: 12/12/2023 5:05:28 PM, ChangeTime: 6/23/2025 2:13:06 PM, FileAttributes: A","C:\Users\vboxuser\Desktop\RAT.exe","4708"
"2:23:00.5243100 PM","RAT.exe","2176","CloseFile","C:\Users\vboxuser\AppData\Local\Temp\bzgwgmoddw.exe","SUCCESS","","C:\Users\vboxuser\Desktop\RAT.exe","4708"
"2:23:00.5243169 PM","RAT.exe","2176","IRP_MJ_CLOSE","C:\Users\vboxuser\AppData\Local\Temp\bzgwgmoddw.exe","SUCCESS","","C:\Users\vboxuser\Desktop\RAT.exe","4708"
"2:23:00.5244396 PM","RAT.exe","2176","CreateFile","C:\Users\vboxuser\AppData\Local\Temp\bzgwgmoddw.exe","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Read Attributes, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened","C:\Users\vboxuser\Desktop\RAT.exe","4708"
"2:23:00.5244527 PM","RAT.exe","2176","CreateFileMapping","C:\Users\vboxuser\AppData\Local\Temp\bzgwgmoddw.exe","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE|PAGE_NOCACHE","C:\Users\vboxuser\Desktop\RAT.exe","4708"
